source_id,name,country,category,layer,official,mandatory
NZ-OFF-001,New Zealand Parliament,New Zealand,Parliament,1,Official,true
NZ-OFF-002,New Zealand Select Committees,New Zealand,Parliament,1,Official,true
NZ-OFF-003,New Zealand Legislation,New Zealand,Legislation,1,Official,true
NZ-OFF-004,New Zealand Gazette,New Zealand,Official notices,1,Official,true
NZ-OFF-005,Beehive,New Zealand,Ministerial releases,1,Official,true
NZ-OFF-006,Ministry of Foreign Affairs and Trade,New Zealand,Trade and foreign affairs,1,Official,true
NZ-OFF-007,New Zealand Trade and Enterprise,New Zealand,Export development,1,Official,true
NZ-OFF-008,"Ministry of Business, Innovation and Employment",New Zealand,Economic and regulatory policy,1,Official,true
NZ-OFF-009,Ministry for Primary Industries,New Zealand,Primary industries regulator,1,Official,true
NZ-OFF-010,New Zealand Customs Service,New Zealand,Customs and border,1,Official,true
NZ-OFF-011,Immigration New Zealand,New Zealand,Immigration,1,Official,true
NZ-OFF-012,Education New Zealand,New Zealand,International education,1,Official,true
NZ-OFF-013,Stats NZ,New Zealand,Official statistics,1,Official,true
NZ-OFF-014,Reserve Bank of New Zealand,New Zealand,Central bank,1,Official,true
NZ-OFF-015,Commerce Commission,New Zealand,Competition and consumer regulator,1,Official,true
NZ-OFF-016,New Zealand Treasury,New Zealand,Economic and fiscal policy,1,Official,true
NZ-OFF-017,Inland Revenue,New Zealand,Tax authority,1,Official,true
NZ-OFF-018,"Ministry for Cities, Environment, Regions and Transport",New Zealand,Transport and regional policy,1,Official,true
NZ-OFF-019,New Zealand Transport Agency,New Zealand,Transport agency,1,Official,false
NZ-OFF-020,Civil Aviation Authority and Aviation Security Service,New Zealand,Aviation regulator,1,Official,true
NZ-OFF-021,Maritime New Zealand,New Zealand,Maritime regulator,1,Official,true
NZ-OFF-022,Ministry for the Environment,New Zealand,Environment policy,1,Official,true
NZ-OFF-023,Energy Efficiency and Conservation Authority,New Zealand,Energy and decarbonisation,1,Official,false
NZ-OFF-024,Electricity Authority,New Zealand,Energy regulator,1,Official,false
NZ-OFF-025,Financial Markets Authority,New Zealand,Financial regulator,1,Official,true
NZ-OFF-026,New Zealand Companies Office,New Zealand,Company registry,1,Official,false
NZ-OFF-027,Overseas Investment Office,New Zealand,Investment regulator,1,Official,true
NZ-OFF-028,Ministry of Defence,New Zealand,Defence policy,1,Official,true
NZ-OFF-029,New Zealand Defence Force,New Zealand,Defence operations,1,Official,false
NZ-OFF-030,Ministry of Education,New Zealand,Education policy,1,Official,true
NZ-OFF-031,Tertiary Education Commission,New Zealand,Tertiary education,1,Official,false
NZ-OFF-032,Callaghan Innovation,New Zealand,Innovation agency,1,Official,false
NZ-OFF-033,Tourism New Zealand,New Zealand,Tourism promotion,1,Official,true
NZ-OFF-034,New Zealand Government Procurement,New Zealand,Government procurement,1,Official,false
NZ-OFF-035,Ministry for Regulation,New Zealand,Regulatory policy,1,Official,true
NZ-OFF-036,WorkSafe New Zealand,New Zealand,Workplace regulator,1,Official,false
NZ-OFF-037,Environmental Protection Authority,New Zealand,Environmental regulator,1,Official,false
NZ-OFF-038,Climate Change Commission,New Zealand,Climate policy,1,Official,false
IND-OFF-001,Press Information Bureau,India,Government releases,1,Official,true
IND-OFF-002,Department of Commerce,India,Trade policy,1,Official,true
IND-OFF-003,Directorate General of Foreign Trade,India,Foreign trade regulation,1,Official,true
IND-OFF-004,Directorate General of Trade Remedies,India,Trade remedies,1,Official,true
IND-OFF-005,Ministry of External Affairs,India,Foreign affairs,1,Official,true
IND-OFF-006,Reserve Bank of India,India,Central bank,1,Official,true
IND-OFF-007,Ministry of Finance,India,Fiscal and financial policy,1,Official,true
IND-OFF-008,Department of Economic Affairs,India,Economic policy,1,Official,true
IND-OFF-009,Department of Revenue,India,Tax and customs policy,1,Official,true
IND-OFF-010,Central Board of Indirect Taxes and Customs,India,Customs and indirect tax,1,Official,true
IND-OFF-011,ICEGATE,India,Customs digital gateway,1,Official,true
IND-OFF-012,GST Council,India,Indirect tax policy,1,Official,true
IND-OFF-013,Ministry of Textiles,India,Textiles policy,1,Official,true
IND-OFF-014,Department of Agriculture and Farmers Welfare,India,Agriculture policy,1,Official,true
IND-OFF-015,Agricultural and Processed Food Products Export Development Authority,India,Agricultural export authority,1,Official,true
IND-OFF-016,Food Safety and Standards Authority of India,India,Food regulator,1,Official,true
IND-OFF-017,Marine Products Export Development Authority,India,Seafood export authority,1,Official,false
IND-OFF-018,Ministry of Electronics and Information Technology,India,Digital and technology policy,1,Official,true
IND-OFF-019,Department for Promotion of Industry and Internal Trade,India,Industry and investment policy,1,Official,true
